Phoneme1	Phoneme2	Difference	Max/Dep	BeIdentical	Sonority	Continuant	Place	Backness	Stridency	Rounding	Voicing	Nasality	Lateral	Tense	Tone	Syllabic
z	e	 19.23	 0	 1	 6	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
z	a	 19.59	 0	 1	 7	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
z	k	 5.76	 0	 1	 0	 1	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
z	r	 5.03	 0	 1	 3	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0
z	d	 4.26	 0	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0
z	g	 4.53	 0	 1	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0
z	f	 5.45	 0	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0
z	ng	 6.17	 0	 1	 1	 1	 1	 0	 1	 0	 0	 1	 0	 0	 0	 0
z	O	 19.23	 0	 1	 6	 0	 0	 1	 1	 0	 0	 0	 0	 0	 0	 1
z	z	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
z	ly	 5.56	 0	 1	 2	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
z	ch	 3.98	 0	 1	 0	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0
z	dzh	 2.75	 0	 1	 0	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
z	zh	 2.44	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
z	sh	 3.67	 0	 1	 0	 0	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0
ly	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ly	u	 16.99	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	l	 2.44	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
ly	t	 5.32	 0	 1	 2	 1	 1	 0	 0	 0	 1	 0	 1	 0	 0	 0
ly	i	 16.99	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	m	 5.01	 0	 1	 1	 1	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0
ly	s	 6.79	 0	 1	 2	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
ly	^	 17.35	 0	 1	 4	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	b	 4.09	 0	 1	 2	 1	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0
ly	o	 17.35	 0	 1	 4	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	n	 5.01	 0	 1	 1	 1	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0
ly	p	 5.32	 0	 1	 2	 1	 1	 0	 0	 0	 1	 0	 1	 0	 0	 0
ly	e	 17.35	 0	 1	 4	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	a	 17.71	 0	 1	 5	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	k	 5.32	 0	 1	 2	 1	 1	 0	 0	 0	 1	 0	 1	 0	 0	 0
ly	r	 3.42	 0	 1	 1	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0
ly	d	 4.09	 0	 1	 2	 1	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0
ly	g	 4.09	 0	 1	 2	 1	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0
ly	f	 5.01	 0	 1	 2	 0	 1	 0	 0	 0	 1	 0	 1	 0	 0	 0
ly	ng	 5.01	 0	 1	 1	 1	 1	 0	 0	 0	 0	 1	 1	 0	 0	 0
ly	O	 17.35	 0	 1	 4	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 1
ly	z	 5.56	 0	 1	 2	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
ly	ly	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ly	ch	 7.1	 0	 1	 2	 1	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
ly	dzh	 5.87	 0	 1	 2	 1	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
ly	zh	 5.56	 0	 1	 2	 0	 1	 0	 1	 0	 0	 0	 1	 0	 0	 0
ly	sh	 6.79	 0	 1	 2	 0	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
ch	GAP	 45.43	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
ch	u	 20.1	 0	 1	 5	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1
ch	l	 7.1	 0	 1	 2	 1	 1	 0	 1	 0	 1	 0	 1	 0	 0	 0
